GEOID,NAMELSAD,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,county_id,STNAME
31039,Cuming County,1383089862.9345372,1376220042.264921,1385213435.7952144,1372368165.5404062,1386489838.1916025,1402165573.6794581,1393196835.337246,1398303520.4846954,1397906555.4094806,1383982248.3662302,31039,Nebraska
53069,Wahkiakum County,601402502.6275395,602596293.5967494,610091801.7155757,614443194.2053273,621667784.8296163,621588110.5137697,647213579.5286683,664377809.9452821,690739501.0781038,702160561.9113318,53069,Washington
35011,De Baca County,306665448.8668171,301901950.69977427,298487413.98934543,293665463.17002255,286154773.0813544,289394613.7191874,285421033.02934533,282098787.80316025,278329687.97688484,273479648.44496614,35011,New Mexico
31109,Lancaster County,43208270890.51016,43762801067.58717,44754961867.300766,45254487602.169205,46532364180.23946,47294465392.94627,48265863256.24198,49038615427.46438,49521563319.988434,49922552072.25643,31109,Nebraska
31129,Nuckolls County,681579436.8216704,671278987.3809481,675676670.4,667753833.2662754,668412035.7789617,667786182.8586907,664789915.6225734,667190983.4524604,658197300.3478104,648966579.9483521,31129,Nebraska
46099,Minnehaha County,25661903674.130924,25880846625.68885,26655825954.65607,27109373859.161716,27803911003.824104,28342903655.11693,28972645765.83657,29622404455.753677,29881250009.03946,30216372095.406227,46099,South Dakota
48327,Menard County,336712925.1467269,334205459.42465013,336160582.7452822,325499530.49498874,327209756.64541763,329721359.14401805,325239989.1358916,329766450.00812644,331680122.82799095,334496274.8142664,48327,Texas
06091,Sierra County,486195344.8306998,467646121.6339503,467787888.96541756,461213185.93300223,456986558.6232054,461208180.43340856,459006794.80632055,469174826.0305192,468889305.7148533,470140928.8198645,06091,California
21053,Clinton County,1546765562.871332,1533360007.6041534,1566410700.9047403,1549816435.5575619,1568853922.487404,1573361105.9810383,1586536532.370203,1596007103.0725057,1588309720.259323,1598635610.875666,21053,Kentucky
39063,Hancock County,11277467114.925508,11308039465.410746,11509229316.413904,11512204031.044334,11575506433.281805,11692902069.96298,11794965861.388712,11873623936.714401,11877903266.55711,11856469220.883793,39063,Ohio
48189,Hale County,5476341292.442438,5491747434.204245,5530177136.650835,5434029597.538239,5297322991.631242,5258545799.956659,5305098187.210835,5306582959.040722,5261667080.579323,5226465180.750879,48189,Texas
01027,Clay County,2098491584.6139956,2066065999.613905,2048993316.0617607,2041645159.9227087,2066741700.6912868,2072732911.3950338,2083184684.1209934,2086437017.8239279,2079884694.7525058,2070653974.3530471,01027,Alabama
48011,Armstrong County,287187436.60496616,292241088.27738154,297877322.1876298,295493256.5092551,294150500.2174266,293720854.6076749,286665375.40767497,291788607.66121894,293974976.789526,295226599.8945372,48011,Texas
39003,Allen County,16059243629.038374,15998991975.383837,16052125394.93851,16001569104.422573,16121846130.055801,16083573045.9684,16116255855.732733,16112138687.52975,16071622932.785555,16013109552.626276,39003,Ohio
13189,McDuffie County,3292086056.9390516,3262654381.212461,3299071417.776975,3274644083.346637,3309615978.4003615,3316063641.025734,3337326258.6799097,3361898628.495169,3368743587.1378784,3334323951.7500677,13189,Georgia
55111,Sauk County,9369074890.293453,9394584901.875576,9512703895.299683,9562710118.641264,9680826629.99946,9775913830.5535,9894699506.882168,9997237207.426456,10062736858.514492,10082137016.642166,55111,Wisconsin
05137,Stone County,1870644138.8532732,1886887191.873589,1912942844.2791874,1892223054.4404516,1903751878.3021219,1913743558.7431152,1945684851.3155756,1956718461.6595938,1948464268.7263205,1956599818.9088938,05137,Arkansas
41063,Wallowa County,1058758309.9232504,1053486856.9668623,1037308585.8669075,1031332391.6619414,1042366043.3737246,1052667113.3309255,1075578443.2686229,1097919104.8848758,1104244484.3962078,1127712417.6151693,41063,Oregon
42007,Beaver County,25763823505.73363,25708460611.83928,25937442858.135986,25852004357.881355,25982576620.616886,25994681904.287136,25938005790.685326,25889635786.56217,25749329233.62095,25647165497.6744,42007,Pennsylvania
28061,Jasper County,2569587695.133183,2545335346.349797,2526390150.904198,2512606576.9982843,2542641229.270971,2557735416.715124,2580143921.4663653,2590307650.4429793,2569738687.476298,2563167666.1749887,28061,Mississippi
29083,Henry County,3361693527.1151247,3359112054.4610386,3389822573.2821674,3368623124.2055078,3390188305.694628,3356699403.656885,3363612991.422122,3390655513.235214,3411924584.260768,3414427830.47079,29083,Missouri
08109,Saguache County,926489017.3544018,934084635.4651015,965927845.0661851,950757168.6241083,953029169.0264559,966142295.5611737,997340416.2311512,1036654437.3952144,1070137754.7846501,1067634508.5746275,08109,Colorado
37037,Chatham County,9640106146.1851,9677316078.705914,9841848422.325237,9937560069.295528,10251291008.361536,10547220777.529572,10832311488.9535,11125944933.473228,11440930350.020046,11651046578.773815,37037,North Carolina
49033,Rich County,340336741.3814898,346281537.45264107,344244299.1180135,344691360.55693,349505534.23638827,355369787.26862305,359770490.1345373,374308363.8717833,384248293.238465,388472521.21787816,49033,Utah
40001,Adair County,3435981759.9277654,3421605758.255892,3426885650.236388,3421019866.59684,3441853004.1123257,3439206997.7444696,3469382093.5801353,3456921378.070971,3477008985.721354,3472315399.0775614,40001,Oklahoma
39085,Lake County,34730352809.282166,34716912918.769844,35013778592.2586,35044129376.993225,35343727929.156845,35511639315.944016,35700960548.26185,35970955624.36984,36000122463.66338,36007475749.40533,39085,Ohio
51775,Salem city,3758954381.8510156,3777699109.106276,3840375368.84912,3856186997.445779,3909910569.5393233,3918956210.557111,3927766717.1972914,3965480633.2019863,3957162899.381309,3958414522.4863205,51775,Virginia
51121,Montgomery County,14277382987.936794,14300642551.722258,14589125254.424559,14712060903.59404,14931559134.66474,15036313733.748081,15269947495.671333,15338359685.638645,15415615972.871511,15416085331.535892,51121,Virginia
47065,Hamilton County,50916731991.22347,51488471985.99441,52726116302.61563,53165938754.925514,53929488128.98998,54648147851.75621,55649790929.249664,56424758757.97814,56994691974.23459,57543998064.44641,47065,Tennessee
35035,Otero County,9724359873.643343,9908723923.91729,10098239501.996208,10099167463.706003,10046323618.507992,10007213209.484425,10210918013.77517,10333880303.785463,10428993069.61842,10559005419.651468,35035,New Mexico
35003,Catron County,565919301.9954853,560933824.4001806,554420924.8090293,546205576.2073138,545400849.070158,537071904.5851016,547199560.8704289,555289192.8335892,556033564.4012641,551809336.421851,35003,New Mexico
01091,Marengo County,3164195542.320542,3118798101.704018,3107655114.9887133,3064447849.3348985,3073126971.952687,3054017050.065914,3036973117.1106095,3031350741.401716,2981366236.1368847,2951170828.7284875,01091,Alabama
56023,Lincoln County,2732810418.0406322,2719079918.977517,2736871822.4960723,2790431164.561625,2854935879.527946,2896572783.445598,2966512229.937698,3012908826.1879907,3042226409.6180587,3102460771.5467267,56023,Wyoming
29011,Barton County,1869738184.7945824,1863036937.7683072,1875117152.5728216,1854448658.7629797,1842246284.94772,1827064232.370203,1839293577.9683971,1843097509.453002,1844579551.0103838,1838947247.0378327,29011,Missouri
48057,Calhoun County,3218099808.812641,3224161882.498239,3290682655.503386,3309676789.0152593,3353900005.615531,3381729797.368849,3413853314.9471784,3393312399.3253274,3364362906.2703385,3330881988.2112865,48057,Texas
51735,Poquoson city,1834254984.162528,1817751645.1633408,1847663021.495621,1842111053.72316,1846551676.4825282,1857347918.589616,1859047513.2243793,1881544214.051106,1903875195.6102934,1919833390.1991873,51735,Virginia
54075,Pocahontas County,1318767124.7674944,1332142357.462754,1327407237.5826638,1322103848.7115123,1330212220.272325,1324602254.8930023,1326468975.2993228,1327349033.1369753,1315455883.3668623,1290266968.3785102,54075,West Virginia
48077,Clay County,1621204788.027088,1610345005.0325959,1604999007.3632507,1592464946.8063207,1595608855.5965688,1600554620.1372461,1594469215.0320542,1638517280.5143116,1634619775.1447403,1638218191.5716476,48077,Texas
51095,James City County,10216292927.512413,10309498763.471241,10586465466.319098,10755345272.490475,11080847698.729029,11251161973.527767,11499279003.738148,11764379032.185644,11895582442.915396,11972244358.097336,51095,Virginia
31101,Keith County,1261843011.4130926,1243986987.8584197,1254501267.2776523,1242594838.4548986,1257174328.1639729,1257081995.3119638,1259274486.869526,1261239455.7182846,1252092463.6756656,1256942503.2075846,31101,Nebraska
31137,Phelps County,1386562686.826185,1379993816.648668,1404736373.4501128,1398109588.4012642,1408785615.7825735,1424105795.3282168,1429904935.4979684,1414401124.4424381,1409014710.466456,1413395391.3339956,31137,Nebraska
22019,Calcasieu Parish,29145448022.13996,29263507032.304466,29662510876.460857,29776581289.436752,30225386214.18691,30662232297.155758,31196907767.100677,31642888183.57598,31787628450.859776,31828149748.884514,22019,Louisiana
22111,Union Parish,3447608170.347629,3435191346.037382,3434816843.658691,3420105969.9272237,3468607937.22149,3474434959.2650113,3504068137.3760724,3500525567.4322343,3479981590.595756,3458860450.698691,22111,Louisiana
40135,Sequoyah County,6418533513.480812,6403491325.317563,6413590065.53499,6368945890.555665,6435330232.671061,6455678457.242437,6512110294.190519,6523749363.146545,6506093352.736795,6503590106.526771,40135,Oklahoma
01049,DeKalb County,10745068113.101582,10772616355.844694,10820588195.22745,10801040105.971287,10916166472.522617,10983553072.854176,11059715058.593227,11164704212.905462,11171831382.44262,11188415388.584017,01049,Alabama
36101,Steuben County,14948996930.112865,14966487303.99061,15088332871.178331,15055381419.146545,15094241429.087133,15072468746.887585,15081118539.759819,15059855508.42799,14997573855.797743,14922320016.608938,36101,New York
42053,Forest County,1163546996.0451467,1158548735.8103838,1157801716.7057335,1149072745.9308352,1148155663.9432957,1140427999.9259593,1140750875.3336344,1143555030.667991,1139602837.1127765,1133814080.2520993,42053,Pennsylvania
22105,Tangipahoa Parish,18343304803.34086,18521684675.431152,18858852728.731014,19118718328.37201,19529563529.856434,19887729364.377426,20316844639.378784,20685108510.865192,20939185188.174446,21083278298.13887,22105,Louisiana
51179,Stafford County,19603637891.3228,19955718941.255077,20341680852.800724,20703262837.37499,21341057018.126953,21765317909.98104,22320546954.083977,22941742525.873405,23440397510.65138,23918830442.541943,51179,Virginia
26109,Menominee County,3618984479.7832956,3602897879.6511064,3619522136.6280813,3613699747.7742667,3616528889.2388263,3627243967.7905188,3609837239.5340853,3591641131.5813994,3586995366.074221,3563996791.5196385,26109,Michigan
18073,Jasper County,5057639524.984199,5045838253.020677,5108298655.764515,5090861398.097336,5152938611.231783,5172639016.599548,5195907143.512416,5223750627.996027,5220050612.337698,5250871831.298601,18073,Indiana
13025,Brantley County,2790187508.4243793,2801801053.469255,2826555317.348262,2780835249.530655,2824029318.8673587,2848675116.4659142,2864320612.1173816,2943204638.176795,2970258081.07991,2989658239.2075844,13025,Georgia
13171,Lamar County,2757875146.997743,2741269712.3539505,2749988796.232957,2730875564.924966,2796813093.808036,2817618887.2306995,2875053065.1304736,2906945957.4176073,2966503211.764876,2984651746.7875395,13171,Georgia
18151,Steuben County,5150197831.31377,5142597828.2199545,5209878940.750157,5235257071.896704,5303473550.9666815,5325757042.331376,5339628688.209481,5373786548.378871,5395590752.81553,5412331211.845057,18151,Indiana
48361,Orange County,12383184043.557564,12429454261.285057,12642169792.199728,12613449517.931921,12799929032.984562,12971769778.320543,13150987968.173365,13279898115.469435,13059748383.464016,13047545058.190157,48361,Texas
39047,Fayette County,4380891843.142212,4357501805.425192,4387627714.987991,4369339977.435305,4405338124.009029,4420645645.01851,4459411998.338601,4475915337.337788,4482844603.48605,4462818633.805869,39047,Ohio
25015,Hampshire County,24057459036.189613,24175402506.185825,24467579184.85273,24500960447.96533,24743392678.509075,24830923105.283974,25105229653.988262,25174308278.65354,25210661939.801712,25162317997.370655,25015,Massachusetts
21003,Allen County,3025433578.9977427,3045586878.6593227,3085844333.077381,3094454123.3206325,3151085311.5293903,3192147741.2911963,3223002302.670881,3266875878.919368,3304597903.00605,3334793310.414447,21003,Kentucky
37001,Alamance County,22864921510.26637,23049006328.12497,23376429997.48442,23481356396.896793,23892462794.450928,24263567514.47946,24930866178.22483,25517984308.780495,26051596213.48117,26520172613.419773,37001,North Carolina
20073,Greenwood County,1008628852.0090293,997936898.0381038,980112479.4560723,968425837.5700225,966867927.5311964,963052123.4979683,950677577.0437922,948195759.3361626,940438310.5278555,935901176.7721897,20073,Kansas
25025,Suffolk County,109586014847.34987,111272152920.39116,114560445635.99352,116139207303.72624,118956430466.91466,120917042255.79955,123279488105.86726,125155901310.52498,125654667740.06248,125773571935.03856,25025,Massachusetts
16051,Jefferson County,3959472213.5079,3971973014.38158,4063363922.376163,4082681055.399007,4143016768.352505,4191354877.9286685,4328756048.613996,4444657853.924695,4600497175.357111,4673404221.224018,16051,Idaho
48177,Gonzales County,2989195416.6501126,2982036518.0370207,3039782402.0478554,3068103436.013363,3128635769.9550343,3168971450.817156,3233268127.292099,3241713604.7718287,3251247468.1549435,3260008829.8900228,48177,Texas
47115,Marion County,4261003922.708803,4241571456.3564787,4305112798.805959,4314506177.25833,4367665948.079458,4387580803.942213,4414771215.516027,4439500369.161535,4474239694.639097,4522583637.070158,47115,Tennessee
26007,Alpena County,4455784045.327313,4428901616.765688,4448484372.20912,4410617643.679639,4441011368.154582,4437796099.9693,4458323198.757562,4442938692.336976,4440758776.580045,4444044287.2307,26007,Michigan
21231,Wayne County,3148190353.9503384,3155026335.7879906,3176137919.7312865,3165433431.327494,3170305809.4526415,3184267802.5300226,3224091102.251919,3223896839.226366,3196332504.422573,3181156574.2743115,21231,Kentucky
47185,White County,3899830237.977427,3932272907.8645597,3970324922.614537,3989615911.2097516,4038457259.6500225,4070065624.4478555,4116129044.7169304,4182876430.340045,4237682927.7919636,4278204225.8167043,47185,Tennessee
