STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0486,0.0551,0.0589,0.0391,0.0493,0.0436,,,,,,,
ALABAMA,AL,0.2871,0.4572,0.3910,0.3595,0.3399,0.3641,,,,,,,
ARKANSAS,AR,0.2138,0.3044,0.2921,0.2852,0.2646,0.2865,,,,,,,
ARIZONA,AZ,0.2799,0.4023,0.3796,0.3741,0.3681,0.4034,,,,,,,
CALIFORNIA,CA,1.0438,1.5096,1.4460,1.3729,1.3619,1.3269,,,,,,,
COLORADO,CO,0.2193,0.3018,0.2918,0.2814,0.2652,0.2780,,,,,,,
CONNECTICUT,CT,0.0950,0.1298,0.1203,0.1190,0.1114,0.1164,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0054,0.0074,0.0042,0.0029,0.0064,0.0048,,,,,,,
DELAWARE,DE,0.0227,0.0332,0.0337,0.0336,0.0327,0.0327,,,,,,,
FLORIDA,FL,0.5393,0.7812,0.7480,0.7451,0.6926,0.7377,,,,,,,
GEORGIA,GA,0.5112,0.6296,0.6758,0.5533,0.5220,0.5827,,,,,,,
HAWAII,HI,0.0184,0.0236,0.0226,0.0214,0.0190,0.0181,,,,,,,
IOWA,IA,0.2333,0.3269,0.3098,0.2973,0.2859,0.3195,,,,,,,
IDAHO,ID,0.0995,0.1435,0.1341,0.1317,0.1272,0.1451,,,,,,,
ILLINOIS,IL,0.5829,0.7417,0.7091,0.6650,0.5916,0.6215,,,,,,,
INDIANA,IN,0.4446,0.6014,0.5519,0.5186,0.4879,0.5134,,,,,,,
KANSAS,KS,0.1783,0.2216,0.1892,0.2005,0.1955,0.2151,,,,,,,
KENTUCKY,KY,0.2677,0.3700,0.3547,0.3453,0.3156,0.3290,,,,,,,
LOUISIANA,LA,0.2517,0.3306,0.3029,0.2795,0.2945,0.2842,,,,,,,
MASSACHUSETTS,MA,0.1532,0.2141,0.1921,0.1835,0.1760,0.1684,,,,,,,
MARYLAND,MD,0.1858,0.2546,0.2334,0.2186,0.2142,0.2122,,,,,,,
MAINE,ME,0.0667,0.0918,0.1047,0.0753,0.0700,0.0760,,,,,,,
MICHIGAN,MI,0.3311,0.4666,0.4087,0.4339,0.3770,0.3835,,,,,,,
MINNESOTA,MN,0.2314,0.3791,0.3558,0.3548,0.3402,0.3036,,,,,,,
MISSOURI,MO,0.3542,0.4948,0.4611,0.4459,0.4279,0.4446,,,,,,,
MISSISSIPPI,MS,0.2194,0.3264,0.3008,0.2961,0.2761,0.2937,,,,,,,
MONTANA,MT,0.0931,0.1261,0.1186,0.1139,0.1084,0.1211,,,,,,,
NORTH CAROLINA,NC,0.3704,0.5286,0.5026,0.4906,0.4697,0.5105,,,,,,,
NORTH DAKOTA,ND,0.1227,0.1384,0.1365,0.1356,0.1249,0.1184,,,,,,,
NEBRASKA,NE,0.1539,0.2216,0.2044,0.1953,0.1900,0.2032,,,,,,,
NEW HAMPSHIRE,NH,0.0352,0.0467,0.0448,0.0438,0.0400,0.0441,,,,,,,
NEW JERSEY,NJ,0.2663,0.4282,0.3573,0.3389,0.3114,0.3110,,,,,,,
NEW MEXICO,NM,0.1861,0.2562,0.2517,0.2423,0.2363,0.2686,,,,,,,
NEVADA,NV,0.1076,0.1601,0.1645,0.1477,0.1504,0.1640,,,,,,,
NEW YORK,NY,0.4842,0.7116,0.6841,0.5543,0.5830,0.5783,,,,,,,
OHIO,OH,0.5497,0.7535,0.7225,0.7035,0.6442,0.6781,,,,,,,
OKLAHOMA,OK,0.2995,0.4209,0.4267,0.3953,0.3626,0.3812,,,,,,,
OREGON,OR,0.1901,0.2683,0.2553,0.2501,0.2232,0.2567,,,,,,,
PENNSYLVANIA,PA,0.5368,0.7081,0.6748,0.6275,0.6085,0.6222,,,,,,,
RHODE ISLAND,RI,0.0234,0.0259,0.0277,0.0271,0.0275,0.0265,,,,,,,
SOUTH CAROLINA,SC,0.2639,0.4004,0.3735,0.3503,0.3431,0.3585,,,,,,,
SOUTH DAKOTA,SD,0.0802,0.1098,0.1040,0.0995,0.0934,0.1056,,,,,,,
TENNESSEE,TN,0.3396,0.4598,0.4358,0.4319,0.4398,0.4453,,,,,,,
TEXAS,TX,1.8072,2.5283,2.4510,2.4487,2.3263,2.2815,,,,,,,
UTAH,UT,0.1616,0.2249,0.2195,0.2057,0.1879,0.2231,,,,,,,
VIRGINIA,VA,0.3509,0.4950,0.4605,0.4364,0.4058,0.4773,,,,,,,
VERMONT,VT,0.0229,0.0341,0.0313,0.0304,0.0278,0.0270,,,,,,,
WASHINGTON,WA,0.2368,0.3235,0.3136,0.3091,0.2862,0.2937,,,,,,,
WISCONSIN,WI,0.2789,0.3833,0.3524,0.3633,0.3359,0.3627,,,,,,,
WEST VIRGINIA,WV,0.1109,0.1358,0.1757,0.2125,0.1976,0.1665,,,,,,,
WYOMING,WY,0.1214,0.1607,0.1433,0.1488,0.1434,0.1481,,,,,,,
