STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0122,0.0057,0.0040,0.0030,0.0034,0.0033,,,,,,,
ALABAMA,AL,0.0388,0.0452,0.0375,0.0294,0.0344,0.0338,,,,,,,
ARKANSAS,AR,0.0233,0.0187,0.0192,0.0143,0.0167,0.0164,,,,,,,
ARIZONA,AZ,0.0675,0.0616,0.0643,0.0482,0.0561,0.0550,,,,,,,
CALIFORNIA,CA,0.3782,0.3460,0.3631,0.2729,0.3183,0.3114,,,,,,,
COLORADO,CO,0.0535,0.0491,0.0516,0.0388,0.0453,0.0444,,,,,,,
CONNECTICUT,CT,0.0347,0.0306,0.0319,0.0239,0.0279,0.0274,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0024,0.0026,0.0027,0.0020,0.0025,0.0024,,,,,,,
DELAWARE,DE,0.0087,0.0080,0.0085,0.0063,0.0073,0.0072,,,,,,,
FLORIDA,FL,0.2041,0.2244,0.1968,0.1473,0.1725,0.1689,,,,,,,
GEORGIA,GA,0.0891,0.0833,0.0873,0.0651,0.0763,0.0747,,,,,,,
HAWAII,HI,0.0117,0.0108,0.0114,0.0085,0.0099,0.0097,,,,,,,
IOWA,IA,0.0995,0.0189,0.0198,0.0148,0.0173,0.0169,,,,,,,
IDAHO,ID,0.0133,0.0108,0.0114,0.0086,0.0100,0.0098,,,,,,,
ILLINOIS,IL,0.0992,0.0894,0.0916,0.0687,0.0800,0.0785,,,,,,,
INDIANA,IN,0.0602,0.0556,0.0512,0.0384,0.0449,0.0439,,,,,,,
KANSAS,KS,0.0242,0.0214,0.0215,0.0157,0.0183,0.0180,,,,,,,
KENTUCKY,KY,0.0279,0.0268,0.0281,0.0210,0.0246,0.0239,,,,,,,
LOUISIANA,LA,0.0294,0.0272,0.0286,0.0215,0.0252,0.0247,,,,,,,
MASSACHUSETTS,MA,0.0524,0.0482,0.0505,0.0370,0.0431,0.0423,,,,,,,
MARYLAND,MD,0.0632,0.0583,0.0613,0.0461,0.0537,0.0526,,,,,,,
MAINE,ME,0.0119,0.0108,0.0113,0.0084,0.0098,0.0097,,,,,,,
MICHIGAN,MI,0.0760,0.0699,0.0734,0.0551,0.0642,0.0628,,,,,,,
MINNESOTA,MN,0.0566,0.0532,0.0350,0.0263,0.0307,0.0300,,,,,,,
MISSOURI,MO,0.0493,0.0456,0.0479,0.0357,0.0416,0.0408,,,,,,,
MISSISSIPPI,MS,0.0172,0.0163,0.0166,0.0125,0.0146,0.0144,,,,,,,
MONTANA,MT,0.0056,0.0051,0.0053,0.0040,0.0047,0.0046,,,,,,,
NORTH CAROLINA,NC,0.0966,0.0939,0.0845,0.0632,0.0739,0.0723,,,,,,,
NORTH DAKOTA,ND,0.0037,0.0034,0.0036,0.0027,0.0031,0.0030,,,,,,,
NEBRASKA,NE,0.0148,0.0134,0.0129,0.0096,0.0112,0.0110,,,,,,,
NEW HAMPSHIRE,NH,0.0132,0.0124,0.0113,0.0084,0.0098,0.0096,,,,,,,
NEW JERSEY,NJ,0.0813,0.0750,0.0771,0.0573,0.0668,0.0655,,,,,,,
NEW MEXICO,NM,0.0143,0.0131,0.0138,0.0104,0.0119,0.0117,,,,,,,
NEVADA,NV,0.0316,0.0294,0.0302,0.0227,0.0265,0.0259,,,,,,,
NEW YORK,NY,0.1175,0.1064,0.1096,0.0807,0.0942,0.0924,,,,,,,
OHIO,OH,0.1154,0.1052,0.1106,0.0829,0.0966,0.0946,,,,,,,
OKLAHOMA,OK,0.0363,0.0328,0.0310,0.0233,0.0271,0.0266,,,,,,,
OREGON,OR,0.0335,0.0318,0.0334,0.0251,0.0294,0.0287,,,,,,,
PENNSYLVANIA,PA,0.1050,0.0964,0.1013,0.0758,0.0885,0.0868,,,,,,,
RHODE ISLAND,RI,0.0076,0.0069,0.0073,0.0055,0.0064,0.0062,,,,,,,
SOUTH CAROLINA,SC,0.0446,0.0423,0.0443,0.0343,0.0397,0.0388,,,,,,,
SOUTH DAKOTA,SD,0.0049,0.0045,0.0048,0.0035,0.0041,0.0039,,,,,,,
TENNESSEE,TN,0.0510,0.0468,0.0490,0.0368,0.0431,0.0418,,,,,,,
TEXAS,TX,0.1957,0.1750,0.1789,0.1334,0.1559,0.1524,,,,,,,
UTAH,UT,0.0153,0.0145,0.0152,0.0114,0.0133,0.0130,,,,,,,
VIRGINIA,VA,0.0847,0.0781,0.0809,0.0606,0.0707,0.0693,,,,,,,
VERMONT,VT,0.0050,0.0046,0.0048,0.0037,0.0043,0.0042,,,,,,,
WASHINGTON,WA,0.0601,0.0628,0.0556,0.0419,0.0486,0.0475,,,,,,,
WISCONSIN,WI,0.0435,0.0399,0.0418,0.0310,0.0360,0.0353,,,,,,,
WEST VIRGINIA,WV,0.0139,0.0130,0.0131,0.0098,0.0115,0.0111,,,,,,,
WYOMING,WY,0.0166,0.0132,0.0031,0.0025,0.0029,0.0028,,,,,,,
