STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0040,0.0037,0.0038,0.0029,0.0034,0.0034,,,,,,,
ALABAMA,AL,0.0318,0.0294,0.0307,0.0234,0.0269,0.0264,,,,,,,
ARKANSAS,AR,0.0271,0.0262,0.0272,0.0206,0.0232,0.0229,,,,,,,
ARIZONA,AZ,0.0643,0.0599,0.0623,0.0462,0.0537,0.0543,,,,,,,
CALIFORNIA,CA,0.2250,0.2050,0.2148,0.1611,0.1858,0.1812,,,,,,,
COLORADO,CO,0.0444,0.0416,0.0434,0.0330,0.0378,0.0371,,,,,,,
CONNECTICUT,CT,0.0140,0.0128,0.0135,0.0101,0.0117,0.0115,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0014,0.0013,0.0013,0.0010,0.0011,0.0011,,,,,,,
DELAWARE,DE,0.0052,0.0048,0.0050,0.0038,0.0043,0.0042,,,,,,,
FLORIDA,FL,0.1662,0.1536,0.1603,0.1222,0.1423,0.1404,,,,,,,
GEORGIA,GA,0.0471,0.0436,0.0456,0.0342,0.0396,0.0390,,,,,,,
HAWAII,HI,0.0107,0.0097,0.0101,0.0077,0.0089,0.0088,,,,,,,
IOWA,IA,0.0280,0.0299,0.0311,0.0227,0.0241,0.0239,,,,,,,
IDAHO,ID,0.0206,0.0199,0.0203,0.0153,0.0174,0.0171,,,,,,,
ILLINOIS,IL,0.0720,0.0708,0.0741,0.0552,0.0626,0.0614,,,,,,,
INDIANA,IN,0.0380,0.0382,0.0385,0.0287,0.0323,0.0317,,,,,,,
KANSAS,KS,0.0334,0.0346,0.0360,0.0266,0.0290,0.0285,,,,,,,
KENTUCKY,KY,0.0202,0.0195,0.0204,0.0151,0.0171,0.0167,,,,,,,
LOUISIANA,LA,0.0280,0.0262,0.0274,0.0206,0.0238,0.0235,,,,,,,
MASSACHUSETTS,MA,0.0284,0.0261,0.0275,0.0207,0.0242,0.0237,,,,,,,
MARYLAND,MD,0.0201,0.0193,0.0202,0.0152,0.0175,0.0172,,,,,,,
MAINE,ME,0.0085,0.0079,0.0082,0.0061,0.0070,0.0069,,,,,,,
MICHIGAN,MI,0.0593,0.0554,0.0578,0.0435,0.0498,0.0486,,,,,,,
MINNESOTA,MN,0.0444,0.0443,0.0462,0.0345,0.0384,0.0378,,,,,,,
MISSOURI,MO,0.0358,0.0318,0.0332,0.0250,0.0287,0.0284,,,,,,,
MISSISSIPPI,MS,0.0148,0.0130,0.0135,0.0101,0.0115,0.0113,,,,,,,
MONTANA,MT,0.0132,0.0117,0.0122,0.0091,0.0104,0.0102,,,,,,,
NORTH CAROLINA,NC,0.0495,0.0444,0.0464,0.0349,0.0403,0.0395,,,,,,,
NORTH DAKOTA,ND,0.0152,0.0127,0.0132,0.0096,0.0108,0.0105,,,,,,,
NEBRASKA,NE,0.0267,0.0224,0.0233,0.0175,0.0193,0.0190,,,,,,,
NEW HAMPSHIRE,NH,0.0067,0.0061,0.0064,0.0048,0.0056,0.0055,,,,,,,
NEW JERSEY,NJ,0.0469,0.0431,0.0454,0.0341,0.0398,0.0391,,,,,,,
NEW MEXICO,NM,0.0214,0.0202,0.0211,0.0165,0.0178,0.0175,,,,,,,
NEVADA,NV,0.0167,0.0153,0.0160,0.0123,0.0143,0.0141,,,,,,,
NEW YORK,NY,0.1030,0.0942,0.0990,0.0741,0.0863,0.0849,,,,,,,
OHIO,OH,0.0603,0.0544,0.0569,0.0429,0.0490,0.0479,,,,,,,
OKLAHOMA,OK,0.0338,0.0332,0.0345,0.0259,0.0281,0.0273,,,,,,,
OREGON,OR,0.0244,0.0221,0.0231,0.0173,0.0199,0.0193,,,,,,,
PENNSYLVANIA,PA,0.0567,0.0514,0.0538,0.0401,0.0465,0.0456,,,,,,,
RHODE ISLAND,RI,0.0045,0.0041,0.0043,0.0033,0.0038,0.0037,,,,,,,
SOUTH CAROLINA,SC,0.0227,0.0206,0.0215,0.0163,0.0189,0.0186,,,,,,,
SOUTH DAKOTA,SD,0.0107,0.0089,0.0092,0.0069,0.0076,0.0075,,,,,,,
TENNESSEE,TN,0.0429,0.0399,0.0415,0.0319,0.0366,0.0359,,,,,,,
TEXAS,TX,0.1399,0.1261,0.1320,0.0996,0.1153,0.1134,,,,,,,
UTAH,UT,0.0155,0.0143,0.0150,0.0114,0.0132,0.0130,,,,,,,
VIRGINIA,VA,0.0282,0.0255,0.0267,0.0200,0.0231,0.0227,,,,,,,
VERMONT,VT,0.0036,0.0032,0.0033,0.0024,0.0028,0.0027,,,,,,,
WASHINGTON,WA,0.0378,0.0339,0.0355,0.0267,0.0307,0.0301,,,,,,,
WISCONSIN,WI,0.0389,0.0348,0.0363,0.0274,0.0314,0.0307,,,,,,,
WEST VIRGINIA,WV,0.0107,0.0099,0.0103,0.0075,0.0087,0.0084,,,,,,,
WYOMING,WY,0.0090,0.0081,0.0084,0.0063,0.0075,0.0071,,,,,,,
