STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.1365,0.1438,0.1420,0.1419,0.1404,0.1229,,,,,,,
ALABAMA,AL,1.4048,1.4639,1.4643,1.4758,1.5390,1.5691,,,,,,,
ARKANSAS,AR,0.7409,0.8013,0.8083,0.8012,0.8283,0.7704,,,,,,,
ARIZONA,AZ,1.4622,1.5413,1.5684,1.6165,1.6385,1.4585,,,,,,,
CALIFORNIA,CA,7.9596,8.2487,8.3891,8.4426,8.3513,6.6702,,,,,,,
COLORADO,CO,1.1822,1.2578,1.2608,1.2841,1.3139,1.1158,,,,,,,
CONNECTICUT,CT,0.7887,0.8180,0.8238,0.8379,0.8318,0.6925,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0599,0.0652,0.0571,0.1198,0.0655,0.0545,,,,,,,
DELAWARE,DE,0.2436,0.2969,0.2680,0.2822,0.3024,0.2496,,,,,,,
FLORIDA,FL,4.5091,4.6553,4.8178,4.9597,4.9686,4.3396,,,,,,,
GEORGIA,GA,2.6422,2.6027,2.7627,2.7870,2.7447,2.5568,,,,,,,
HAWAII,HI,0.2407,0.2519,0.2533,0.2504,0.2527,0.1947,,,,,,,
IOWA,IA,0.8338,0.9358,0.8594,0.8614,0.8604,0.7607,,,,,,,
IDAHO,ID,0.3777,0.4070,0.4213,0.3998,0.4247,0.4111,,,,,,,
ILLINOIS,IL,2.7211,2.6351,2.6487,2.6511,2.5778,2.1267,,,,,,,
INDIANA,IN,1.6826,1.7281,1.7479,1.7259,1.6981,1.5668,,,,,,,
KANSAS,KS,0.6700,0.7305,0.7046,0.7002,0.7431,0.6852,,,,,,,
KENTUCKY,KY,1.1596,1.2107,1.2200,1.2374,1.2419,1.1164,,,,,,,
LOUISIANA,LA,1.2225,1.2074,1.1750,1.1832,1.2089,1.0611,,,,,,,
MASSACHUSETTS,MA,1.4974,1.5403,1.5307,1.5596,1.5384,1.2247,,,,,,,
MARYLAND,MD,1.5213,1.4920,1.4922,1.5026,1.5058,1.1928,,,,,,,
MAINE,ME,0.4048,0.4212,0.3431,0.3446,0.3433,0.3108,,,,,,,
MICHIGAN,MI,2.4420,2.5243,2.5236,2.5626,2.5353,2.1518,,,,,,,
MINNESOTA,MN,1.3033,1.3938,1.4122,1.3950,1.3952,1.2017,,,,,,,
MISSOURI,MO,1.6573,1.7412,1.7420,1.7430,1.7323,1.6030,,,,,,,
MISSISSIPPI,MS,0.9016,0.9538,0.9424,0.9266,0.9655,0.9078,,,,,,,
MONTANA,MT,0.2710,0.2787,0.2815,0.2792,0.2806,0.2628,,,,,,,
NORTH CAROLINA,NC,2.3854,2.5425,2.5777,2.6090,2.6809,2.3934,,,,,,,
NORTH DAKOTA,ND,0.2430,0.2319,0.2312,0.2347,0.2381,0.2105,,,,,,,
NEBRASKA,NE,0.4614,0.4819,0.4860,0.4951,0.4996,0.4584,,,,,,,
NEW HAMPSHIRE,NH,0.3685,0.3747,0.3820,0.3901,0.3919,0.3303,,,,,,,
NEW JERSEY,NJ,2.2039,2.2971,2.2126,2.1853,2.1819,1.7252,,,,,,,
NEW MEXICO,NM,0.5125,0.5130,0.5527,0.5528,0.5552,0.4971,,,,,,,
NEVADA,NV,0.5992,0.6245,0.6495,0.6712,0.6697,0.5719,,,,,,,
NEW YORK,NY,2.8559,3.0191,3.0931,3.1620,3.1253,2.5705,,,,,,,
OHIO,OH,2.6952,2.7626,2.7919,2.7903,2.7706,2.4023,,,,,,,
OKLAHOMA,OK,1.0067,1.0391,1.0234,1.0582,1.0508,0.9594,,,,,,,
OREGON,OR,0.8128,0.8514,0.8775,0.8878,0.8719,0.7539,,,,,,,
PENNSYLVANIA,PA,2.6038,2.6825,2.7356,2.6831,2.7078,2.3072,,,,,,,
RHODE ISLAND,RI,0.2017,0.2013,0.2030,0.2150,0.2120,0.1766,,,,,,,
SOUTH CAROLINA,SC,1.4765,1.5190,1.5485,1.5373,1.5448,1.3605,,,,,,,
SOUTH DAKOTA,SD,0.2445,0.2575,0.2571,0.2589,0.2520,0.2452,,,,,,,
TENNESSEE,TN,1.7174,1.8510,1.8789,1.8648,1.8970,1.7339,,,,,,,
TEXAS,TX,7.4358,7.7728,7.9201,8.1574,8.2583,7.1370,,,,,,,
UTAH,UT,0.5856,0.6441,0.6572,0.6631,0.6888,0.6383,,,,,,,
VIRGINIA,VA,2.1407,2.2099,2.2481,2.2764,2.2680,2.0309,,,,,,,
VERMONT,VT,0.1639,0.1663,0.1678,0.1557,0.1672,0.1374,,,,,,,
WASHINGTON,WA,1.4743,1.5165,1.5315,1.6064,1.6268,1.2705,,,,,,,
WISCONSIN,WI,1.3305,1.3730,1.3711,1.4469,1.4240,1.2505,,,,,,,
WEST VIRGINIA,WV,0.4552,0.4420,0.4332,0.4598,0.4581,0.3862,,,,,,,
WYOMING,WY,0.1762,0.1821,0.1807,0.1712,0.1699,0.1586,,,,,,,
