STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0889,0.1167,0.1027,0.0920,0.0826,0.1150,,,,,,,
ALABAMA,AL,0.0321,0.0320,0.0280,0.0316,0.0295,0.0299,,,,,,,
ARKANSAS,AR,0.0966,0.0947,0.0825,0.1061,0.1029,0.0981,,,,,,,
ARIZONA,AZ,0.0591,0.0592,0.0582,0.0670,0.0815,0.0732,,,,,,,
CALIFORNIA,CA,0.3326,0.3761,0.3790,0.3434,0.4034,0.3886,,,,,,,
COLORADO,CO,0.1767,0.1959,0.2019,0.1752,0.1982,0.1955,,,,,,,
CONNECTICUT,CT,0.1144,0.0969,0.1050,0.0976,0.0999,0.0962,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,,,,,,,
DELAWARE,DE,0.0134,0.0124,0.0115,0.0096,0.0100,0.0097,,,,,,,
FLORIDA,FL,0.0040,0.0049,0.0038,0.0044,0.0045,0.0042,,,,,,,
GEORGIA,GA,0.0527,0.0607,0.0464,0.0516,0.0424,0.0505,,,,,,,
HAWAII,HI,0.0002,0.0002,0.0006,0.0003,0.0003,0.0004,,,,,,,
IOWA,IA,0.0866,0.0842,0.0888,0.0897,0.1521,0.1443,,,,,,,
IDAHO,ID,0.1814,0.2042,0.2391,0.2190,0.2356,0.2262,,,,,,,
ILLINOIS,IL,0.0891,0.0958,0.0866,0.0914,0.0932,0.0924,,,,,,,
INDIANA,IN,0.1885,0.2204,0.1921,0.2043,0.1928,0.2055,,,,,,,
KANSAS,KS,0.0578,0.0602,0.0554,0.0642,0.0608,0.0621,,,,,,,
KENTUCKY,KY,0.1299,0.1370,0.1429,0.1438,0.1533,0.1433,,,,,,,
LOUISIANA,LA,0.0113,0.0093,0.0079,0.0089,0.0085,0.0089,,,,,,,
MASSACHUSETTS,MA,0.1589,0.1534,0.1572,0.1284,0.1513,0.1421,,,,,,,
MARYLAND,MD,0.1870,0.1860,0.1341,0.1571,0.1421,0.1436,,,,,,,
MAINE,ME,0.3728,0.3092,0.3257,0.3195,0.3300,0.3150,,,,,,,
MICHIGAN,MI,0.5705,0.5493,0.5644,0.5614,0.5541,0.5545,,,,,,,
MINNESOTA,MN,0.4899,0.5453,0.5603,0.6093,0.6333,0.4731,,,,,,,
MISSOURI,MO,0.3504,0.4007,0.4136,0.4420,0.3950,0.4124,,,,,,,
MISSISSIPPI,MS,0.0210,0.0232,0.0150,0.0228,0.0235,0.0205,,,,,,,
MONTANA,MT,0.1637,0.2031,0.2047,0.2236,0.2093,0.2141,,,,,,,
NORTH CAROLINA,NC,0.1534,0.1566,0.1422,0.1574,0.1324,0.1400,,,,,,,
NORTH DAKOTA,ND,0.0078,0.0117,0.0110,0.0089,0.0086,0.0095,,,,,,,
NEBRASKA,NE,0.0362,0.0409,0.0345,0.0434,0.0460,0.0406,,,,,,,
NEW HAMPSHIRE,NH,0.2102,0.1858,0.2120,0.1958,0.2012,0.1945,,,,,,,
NEW JERSEY,NJ,0.0486,0.0498,0.0451,0.0463,0.0397,0.0444,,,,,,,
NEW MEXICO,NM,0.1329,0.1650,0.1485,0.1707,0.1948,0.1772,,,,,,,
NEVADA,NV,0.0289,0.0331,0.0353,0.0425,0.0401,0.0383,,,,,,,
NEW YORK,NY,0.5583,0.5403,0.5406,0.5387,0.5288,0.5194,,,,,,,
OHIO,OH,0.3259,0.3447,0.3406,0.3342,0.3171,0.3343,,,,,,,
OKLAHOMA,OK,0.0598,0.0555,0.0490,0.0649,0.0645,0.0577,,,,,,,
OREGON,OR,0.3114,0.3817,0.4207,0.3742,0.4027,0.3972,,,,,,,
PENNSYLVANIA,PA,0.5280,0.5183,0.5274,0.5471,0.4991,0.5239,,,,,,,
RHODE ISLAND,RI,0.0276,0.0255,0.0255,0.0193,0.0260,0.0237,,,,,,,
SOUTH CAROLINA,SC,0.0279,0.0292,0.0246,0.0268,0.0244,0.0259,,,,,,,
SOUTH DAKOTA,SD,0.0305,0.0298,0.0291,0.0390,0.0324,0.0306,,,,,,,
TENNESSEE,TN,0.1157,0.1244,0.1024,0.1109,0.1117,0.1088,,,,,,,
TEXAS,TX,0.0428,0.0377,0.0304,0.0403,0.0400,0.0359,,,,,,,
UTAH,UT,0.0471,0.0589,0.0600,0.0647,0.0634,0.0603,,,,,,,
VIRGINIA,VA,0.2147,0.2328,0.2064,0.2134,0.1819,0.1982,,,,,,,
VERMONT,VT,0.2420,0.2418,0.2505,0.2591,0.2352,0.2354,,,,,,,
WASHINGTON,WA,0.3478,0.4600,0.4927,0.4320,0.4725,0.4661,,,,,,,
WISCONSIN,WI,0.4422,0.4588,0.4633,0.4604,0.4345,0.4517,,,,,,,
WEST VIRGINIA,WV,0.1435,0.1558,0.1552,0.1504,0.1421,0.1476,,,,,,,
WYOMING,WY,0.0631,0.0658,0.0793,0.0652,0.0635,0.0730,,,,,,,
