STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0107,0.0107,0.0066,0.0066,0.0066,0.0066,,,,,,,
ALABAMA,AL,14.7224,14.6286,15.1238,15.1534,15.2216,14.7628,,,,,,,
ARKANSAS,AR,6.3906,6.0717,6.2502,6.1671,6.0315,4.6437,,,,,,,
ARIZONA,AZ,0.0223,0.0223,0.1219,0.1206,0.1206,0.1206,,,,,,,
CALIFORNIA,CA,2.1690,2.3263,2.2306,2.2382,2.2826,4.2537,,,,,,,
COLORADO,CO,0.0339,0.0339,0.0440,0.0438,0.0438,0.0438,,,,,,,
CONNECTICUT,CT,0.3938,0.3938,0.3359,0.3277,0.3277,0.3277,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
DELAWARE,DE,0.0026,0.0026,0.0021,0.0022,0.0022,0.0022,,,,,,,
FLORIDA,FL,9.0738,8.4857,8.1952,7.9337,8.0823,6.9683,,,,,,,
GEORGIA,GA,17.3383,17.4361,16.6341,16.9068,17.4618,16.7088,,,,,,,
HAWAII,HI,0.0022,0.0022,0.0064,0.0063,0.0063,0.0063,,,,,,,
IOWA,IA,0.0912,0.0912,0.0821,0.1151,0.1151,0.1151,,,,,,,
IDAHO,ID,1.6060,1.5531,1.5939,1.7266,1.5762,1.5473,,,,,,,
ILLINOIS,IL,0.1335,0.1334,0.1886,0.1972,0.1972,0.1972,,,,,,,
INDIANA,IN,0.3514,0.3514,0.5185,0.5268,0.5268,0.5268,,,,,,,
KANSAS,KS,0.0085,0.0085,0.0095,0.0095,0.0095,0.0095,,,,,,,
KENTUCKY,KY,1.9811,2.0410,2.2846,2.2170,2.1327,1.7288,,,,,,,
LOUISIANA,LA,9.9239,11.4407,10.3702,9.9954,8.9692,8.9150,,,,,,,
MASSACHUSETTS,MA,0.6364,0.6364,0.2632,0.2605,0.2605,0.2605,,,,,,,
MARYLAND,MD,0.6404,0.7185,0.6482,0.6378,0.3099,0.0284,,,,,,,
MAINE,ME,5.2621,4.5294,4.1056,4.1770,4.3866,3.6921,,,,,,,
MICHIGAN,MI,4.1217,4.0346,3.5690,3.5835,3.5894,3.4427,,,,,,,
MINNESOTA,MN,2.9432,3.0117,2.3646,2.4074,2.4255,2.3546,,,,,,,
MISSOURI,MO,0.0592,0.0592,0.0720,0.0717,0.0717,0.0717,,,,,,,
MISSISSIPPI,MS,4.6820,4.6507,4.2153,4.3148,4.2221,4.1773,,,,,,,
MONTANA,MT,0.1252,0.1242,0.1622,0.1609,0.1577,0.1600,,,,,,,
NORTH CAROLINA,NC,7.4065,7.0477,7.0940,6.7458,6.7329,7.1111,,,,,,,
NORTH DAKOTA,ND,0.0253,0.0253,0.0139,0.0167,0.0167,0.0167,,,,,,,
NEBRASKA,NE,0.0193,0.0193,0.0157,0.0157,0.0157,0.0157,,,,,,,
NEW HAMPSHIRE,NH,0.1582,0.1582,0.1966,0.1941,0.1941,0.1941,,,,,,,
NEW JERSEY,NJ,0.2609,0.2609,0.0211,0.0234,0.0234,0.0234,,,,,,,
NEW MEXICO,NM,0.0034,0.0034,0.0017,0.0017,0.0017,0.0017,,,,,,,
NEVADA,NV,0.0145,0.0145,0.0108,0.0107,0.0107,0.0107,,,,,,,
NEW YORK,NY,1.7378,1.7575,1.7371,1.7211,1.7501,1.6863,,,,,,,
OHIO,OH,1.8514,1.7496,1.3707,1.2326,1.2575,1.2741,,,,,,,
OKLAHOMA,OK,1.6601,1.7500,2.3421,2.3639,2.2046,2.3810,,,,,,,
OREGON,OR,3.8892,3.4911,3.9512,3.8782,3.7201,3.7907,,,,,,,
PENNSYLVANIA,PA,3.9201,4.0790,4.0720,3.8355,3.7218,3.7079,,,,,,,
RHODE ISLAND,RI,0.0042,0.0042,0.0050,0.0070,0.0070,0.0070,,,,,,,
SOUTH CAROLINA,SC,7.6569,7.7368,8.0436,7.8624,7.7781,7.4170,,,,,,,
SOUTH DAKOTA,SD,0.0214,0.0214,0.0277,0.0299,0.0299,0.0928,,,,,,,
TENNESSEE,TN,4.9459,4.7504,4.3562,4.5013,4.1575,3.6941,,,,,,,
TEXAS,TX,4.4913,4.5819,4.8852,5.0726,5.1431,4.8127,,,,,,,
UTAH,UT,0.0176,0.0176,0.0145,0.0145,0.0145,0.0145,,,,,,,
VIRGINIA,VA,5.6692,5.3105,5.7507,5.6594,5.3479,5.3433,,,,,,,
VERMONT,VT,0.0338,0.0338,0.0177,0.0179,0.0179,0.0179,,,,,,,
WASHINGTON,WA,6.9257,7.4889,6.9985,6.7775,6.5435,6.0500,,,,,,,
WISCONSIN,WI,4.9903,5.1303,4.9675,5.0341,4.7495,4.4140,,,,,,,
WEST VIRGINIA,WV,0.0976,0.0976,0.0862,0.0855,0.0855,0.0855,,,,,,,
WYOMING,WY,0.0106,0.0106,0.0083,0.0082,0.0082,0.0082,,,,,,,
