STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.6073,0.6589,0.5599,0.6127,0.5708,0.6678,,,,,,,
ALABAMA,AL,0.2189,0.1803,0.1530,0.2101,0.2040,0.1737,,,,,,,
ARKANSAS,AR,0.6597,0.5344,0.4497,0.7065,0.7113,0.5695,,,,,,,
ARIZONA,AZ,0.4037,0.3340,0.3170,0.4465,0.5629,0.4256,,,,,,,
CALIFORNIA,CA,2.2711,2.1231,2.0655,2.2867,2.7888,2.2578,,,,,,,
COLORADO,CO,1.2072,1.1060,1.1004,1.1663,1.3699,1.1360,,,,,,,
CONNECTICUT,CT,0.7802,0.5469,0.5720,0.6492,0.6906,0.5591,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0006,0.0008,0.0000,0.0000,0.0002,,,,,,,
DELAWARE,DE,0.0914,0.0699,0.0632,0.0642,0.0689,0.0564,,,,,,,
FLORIDA,FL,0.0275,0.0281,0.0206,0.0297,0.0311,0.0248,,,,,,,
GEORGIA,GA,0.3600,0.3426,0.2529,0.3434,0.2931,0.2935,,,,,,,
HAWAII,HI,0.0014,0.0010,0.0033,0.0024,0.0024,0.0025,,,,,,,
IOWA,IA,0.5316,0.4452,0.4327,0.5312,0.5759,0.4746,,,,,,,
IDAHO,ID,1.2389,1.1526,1.3033,1.4585,1.6288,1.3145,,,,,,,
ILLINOIS,IL,0.6084,0.5409,0.4719,0.6082,0.6445,0.5367,,,,,,,
INDIANA,IN,1.2877,1.2442,1.0468,1.3602,1.3332,1.1941,,,,,,,
KANSAS,KS,0.3953,0.3400,0.3016,0.4276,0.4204,0.3606,,,,,,,
KENTUCKY,KY,0.8874,0.7737,0.7792,0.9569,1.0598,0.8328,,,,,,,
LOUISIANA,LA,0.0776,0.0527,0.0432,0.0592,0.0585,0.0515,,,,,,,
MASSACHUSETTS,MA,1.0853,0.8661,0.8563,0.8552,1.0459,0.8255,,,,,,,
MARYLAND,MD,0.5970,0.4875,0.4891,0.6062,0.5679,0.4919,,,,,,,
MAINE,ME,2.5279,1.7408,1.7550,2.1211,2.2809,1.8303,,,,,,,
MICHIGAN,MI,3.8785,3.0965,3.0757,3.7380,3.8306,3.2215,,,,,,,
MINNESOTA,MN,1.8150,1.5185,1.4349,1.9431,2.1598,1.6771,,,,,,,
MISSOURI,MO,1.8642,1.6178,1.4840,2.0352,2.0091,1.7293,,,,,,,
MISSISSIPPI,MS,0.1438,0.1310,0.0817,0.1517,0.1622,0.1194,,,,,,,
MONTANA,MT,1.1176,1.1465,1.1157,1.4888,1.4471,1.2435,,,,,,,
NORTH CAROLINA,NC,1.0481,0.8840,0.7751,1.0479,0.9156,0.8134,,,,,,,
NORTH DAKOTA,ND,0.0536,0.0659,0.0601,0.0590,0.0595,0.0550,,,,,,,
NEBRASKA,NE,0.2476,0.2309,0.1883,0.2891,0.3175,0.2358,,,,,,,
NEW HAMPSHIRE,NH,1.4352,1.0488,1.1552,1.3042,1.3907,1.1296,,,,,,,
NEW JERSEY,NJ,0.3315,0.2814,0.2454,0.3082,0.2746,0.2581,,,,,,,
NEW MEXICO,NM,0.9080,0.9317,0.8091,1.1362,1.3466,1.0292,,,,,,,
NEVADA,NV,0.1971,0.1871,0.1919,0.2830,0.2772,0.2221,,,,,,,
NEW YORK,NY,3.8132,3.0502,2.9468,3.5867,3.6552,3.0176,,,,,,,
OHIO,OH,2.2256,1.9458,1.8566,2.2253,2.1922,1.9423,,,,,,,
OKLAHOMA,OK,0.4084,0.3129,0.2669,0.4317,0.4460,0.3353,,,,,,,
OREGON,OR,2.1270,2.1548,2.2932,2.4918,2.7839,2.3079,,,,,,,
PENNSYLVANIA,PA,3.6059,2.9260,2.8748,3.6425,3.4500,3.0438,,,,,,,
RHODE ISLAND,RI,0.1889,0.1439,0.1386,0.1287,0.1798,0.1376,,,,,,,
SOUTH CAROLINA,SC,0.1908,0.1648,0.1342,0.1785,0.1687,0.1502,,,,,,,
SOUTH DAKOTA,SD,0.2083,0.1679,0.1586,0.2596,0.2237,0.1777,,,,,,,
TENNESSEE,TN,0.7905,0.7021,0.5583,0.7382,0.7724,0.6320,,,,,,,
TEXAS,TX,0.2924,0.2131,0.1660,0.2687,0.2768,0.2084,,,,,,,
UTAH,UT,0.3217,0.3322,0.3270,0.4307,0.4382,0.3502,,,,,,,
VIRGINIA,VA,1.4666,1.3143,1.1254,1.4210,1.2574,1.1512,,,,,,,
VERMONT,VT,1.5190,1.2655,1.2681,1.6023,1.4987,1.2947,,,,,,,
WASHINGTON,WA,2.3757,2.5968,2.6855,2.8763,3.2663,2.7082,,,,,,,
WISCONSIN,WI,3.0204,2.5897,2.5253,3.0660,3.0043,2.6249,,,,,,,
WEST VIRGINIA,WV,0.9804,0.8794,0.8456,1.0011,0.9822,0.8575,,,,,,,
WYOMING,WY,0.4308,0.3717,0.4320,0.4341,0.4390,0.4241,,,,,,,
