STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,32.6387,31.0432,31.4263,31.3675,31.3709,33.4007,,,,,,,
ALABAMA,AL,121.8740,116.1203,109.7693,114.1141,108.3704,100.9563,,,,,,,
ARKANSAS,AR,61.1301,63.9928,65.9101,72.4143,66.6815,56.1719,,,,,,,
ARIZONA,AZ,96.1978,91.6831,91.3409,95.2847,93.5559,81.8881,,,,,,,
CALIFORNIA,CA,342.3854,343.4175,345.0012,346.2969,348.2245,299.5074,,,,,,,
COLORADO,CO,94.7376,91.7035,92.1785,93.2571,95.1386,83.5972,,,,,,,
CONNECTICUT,CT,36.1012,33.7578,33.1917,36.9627,36.2419,33.4300,,,,,,,
DISTRICT OF COLUMBIA,DC,3.0207,2.8288,2.6292,3.6264,2.8654,2.4497,,,,,,,
DELAWARE,DE,13.9116,14.8403,13.6191,13.8595,13.5064,12.4349,,,,,,,
FLORIDA,FL,229.3194,230.6386,230.6212,231.4100,224.5997,205.3598,,,,,,,
GEORGIA,GA,143.8954,141.9578,139.5537,139.8701,133.5683,115.7235,,,,,,,
HAWAII,HI,16.7485,16.7238,17.0937,16.6807,17.0613,13.1046,,,,,,,
IOWA,IA,78.3563,74.4000,75.8869,81.7000,76.6224,65.0589,,,,,,,
IDAHO,ID,17.2142,17.4557,17.8473,17.8944,19.0218,18.7512,,,,,,,
ILLINOIS,IL,218.9083,202.9105,200.7382,207.5612,198.1557,166.5178,,,,,,,
INDIANA,IN,195.6454,188.0871,180.9047,193.9106,180.3920,155.2482,,,,,,,
KANSAS,KS,64.3034,62.2058,57.9921,62.0421,59.4945,57.5498,,,,,,,
KENTUCKY,KY,133.3898,127.9334,118.1618,123.5876,116.1733,102.8615,,,,,,,
LOUISIANA,LA,184.5423,185.7826,188.7848,194.4349,195.1195,183.5023,,,,,,,
MASSACHUSETTS,MA,65.3356,62.3315,62.4641,62.2166,61.4853,51.0836,,,,,,,
MARYLAND,MD,63.7924,61.7823,56.2691,62.6272,58.0047,49.2690,,,,,,,
MAINE,ME,16.2259,15.5993,14.3231,14.2439,13.8973,12.9793,,,,,,,
MICHIGAN,MI,170.6447,161.7604,159.3278,166.9602,162.2388,140.7045,,,,,,,
MINNESOTA,MN,98.6174,100.6813,101.3495,106.6397,103.3036,89.5671,,,,,,,
MISSOURI,MO,131.4661,124.9720,130.9100,131.7370,123.6871,115.7751,,,,,,,
MISSISSIPPI,MS,61.6502,62.6145,60.6835,63.7896,62.7654,63.5539,,,,,,,
MONTANA,MT,33.8382,31.7898,31.7277,31.9600,33.1679,26.5271,,,,,,,
NORTH CAROLINA,NC,124.2798,124.7729,120.8388,123.9336,122.2345,106.8769,,,,,,,
NORTH DAKOTA,ND,65.5663,59.4848,61.8685,70.1796,72.5445,61.4058,,,,,,,
NEBRASKA,NE,50.0412,47.7703,46.9891,51.3221,49.3990,45.6905,,,,,,,
NEW HAMPSHIRE,NH,14.9783,13.3789,12.9415,13.8803,13.5344,12.0052,,,,,,,
NEW JERSEY,NJ,99.8729,101.9372,95.6532,99.6219,97.5502,80.1932,,,,,,,
NEW MEXICO,NM,54.5724,51.9034,52.7950,49.7520,54.3492,49.7906,,,,,,,
NEVADA,NV,38.5467,39.6057,39.6197,40.7705,41.2622,36.7502,,,,,,,
NEW YORK,NY,170.1033,164.9211,160.7528,167.8726,165.4418,143.1738,,,,,,,
OHIO,OH,209.5877,203.7974,204.3154,208.2029,195.3881,184.8218,,,,,,,
OKLAHOMA,OK,102.3438,98.0093,94.7961,99.9823,92.9670,85.8184,,,,,,,
OREGON,OR,37.6962,37.6555,38.7523,39.5289,41.5468,37.4923,,,,,,,
PENNSYLVANIA,PA,231.4474,219.0713,215.0143,218.6667,219.0555,198.8566,,,,,,,
RHODE ISLAND,RI,10.6706,9.4464,9.7769,10.8928,10.2613,9.6540,,,,,,,
SOUTH CAROLINA,SC,74.8312,73.5483,71.0917,74.9884,70.8483,64.9020,,,,,,,
SOUTH DAKOTA,SD,14.7980,15.5119,15.3779,16.1140,16.6484,15.4634,,,,,,,
TENNESSEE,TN,97.4001,100.3692,96.2032,92.3469,91.6121,83.0366,,,,,,,
TEXAS,TX,692.1547,682.0836,697.0537,727.3984,728.8114,666.3583,,,,,,,
UTAH,UT,66.4904,61.5399,61.7578,63.2099,63.7308,59.8865,,,,,,,
VIRGINIA,VA,104.4225,106.5368,101.8829,105.5416,101.2214,96.2599,,,,,,,
VERMONT,VT,6.0604,5.8588,5.7087,5.8416,6.0282,5.3660,,,,,,,
WASHINGTON,WA,68.7812,69.4664,71.4545,71.7475,76.8874,64.2259,,,,,,,
WISCONSIN,WI,100.3337,96.2318,99.0726,101.8974,95.1434,87.5757,,,,,,,
WEST VIRGINIA,WV,94.5338,95.0872,93.2410,91.7544,89.2641,79.8662,,,,,,,
WYOMING,WY,68.6875,65.1648,66.6815,67.7229,62.8964,58.7827,,,,,,,
