STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0011,0.0009,0.0010,0.0008,0.0009,0.0009,,,,,,,
ALABAMA,AL,0.1089,0.1051,0.0999,0.1024,0.1025,0.1038,,,,,,,
ARKANSAS,AR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
ARIZONA,AZ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
CALIFORNIA,CA,0.4205,0.4030,0.3718,0.3355,0.3153,0.3242,,,,,,,
COLORADO,CO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
CONNECTICUT,CT,1.0051,1.0107,0.9171,0.8256,0.8674,0.9109,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
DELAWARE,DE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
FLORIDA,FL,2.6746,2.8395,2.7113,2.6915,2.6659,2.7616,,,,,,,
GEORGIA,GA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
HAWAII,HI,0.2920,0.2996,0.2833,0.3423,0.3235,0.2958,,,,,,,
IOWA,IA,0.0154,0.0146,0.0121,0.0096,0.0074,0.0142,,,,,,,
IDAHO,ID,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
ILLINOIS,IL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
INDIANA,IN,0.3616,0.3389,0.3406,0.3443,0.3491,0.3903,,,,,,,
KANSAS,KS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
KENTUCKY,KY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
LOUISIANA,LA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MASSACHUSETTS,MA,1.5420,1.5147,1.4388,1.4378,1.4132,1.3784,,,,,,,
MARYLAND,MD,0.6246,0.6610,0.6286,0.6142,0.6262,0.6119,,,,,,,
MAINE,ME,0.1884,0.1948,0.1859,0.1551,0.1353,0.1257,,,,,,,
MICHIGAN,MI,0.4980,0.4965,0.3764,0.3776,0.1590,0.0887,,,,,,,
MINNESOTA,MN,0.6417,0.6783,0.6333,0.6536,0.4939,0.5179,,,,,,,
MISSOURI,MO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MISSISSIPPI,MS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
MONTANA,MT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NORTH CAROLINA,NC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NORTH DAKOTA,ND,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEBRASKA,NE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEW HAMPSHIRE,NH,0.0862,0.0854,0.0814,0.0809,0.0812,0.0842,,,,,,,
NEW JERSEY,NJ,1.0005,1.0269,0.9750,0.9651,0.9163,0.8918,,,,,,,
NEW MEXICO,NM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEVADA,NV,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
NEW YORK,NY,1.9001,1.8799,1.8363,1.7936,1.8245,1.8738,,,,,,,
OHIO,OH,0.0000,0.0000,0.0211,0.0000,0.0000,0.0000,,,,,,,
OKLAHOMA,OK,0.1757,0.1801,0.1650,0.1513,0.1471,0.1652,,,,,,,
OREGON,OR,0.0887,0.0852,0.0811,0.0809,0.0824,0.0830,,,,,,,
PENNSYLVANIA,PA,1.4073,1.4044,1.3585,1.3118,1.3271,1.3668,,,,,,,
RHODE ISLAND,RI,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
SOUTH CAROLINA,SC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
SOUTH DAKOTA,SD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
TENNESSEE,TN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
TEXAS,TX,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
UTAH,UT,0.0306,0.0405,0.0171,0.0000,0.0000,0.0000,,,,,,,
VIRGINIA,VA,0.9544,0.9414,0.4822,0.9238,0.9647,0.9959,,,,,,,
VERMONT,VT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
WASHINGTON,WA,0.1190,0.1241,0.1159,0.1147,0.1154,0.1201,,,,,,,
WISCONSIN,WI,0.0308,0.0302,0.0269,0.0270,0.0295,0.0280,,,,,,,
WEST VIRGINIA,WV,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
WYOMING,WY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
