STATE,ST,2015,2016,2017,2018,2019,2020,,,,,,,
ALASKA,AK,0.0112,0.0113,0.0113,0.0113,0.0114,0.0115,,,,,,,
ALABAMA,AL,0.4355,0.4359,0.4362,0.4366,0.4375,0.4384,,,,,,,
ARKANSAS,AR,0.2120,0.2122,0.2124,0.2127,0.2131,0.2137,,,,,,,
ARIZONA,AZ,0.0498,0.0498,0.0499,0.0500,0.0501,0.0503,,,,,,,
CALIFORNIA,CA,1.2518,1.2545,1.2573,1.2608,1.2648,1.2730,,,,,,,
COLORADO,CO,0.0397,0.0398,0.0399,0.0400,0.0402,0.0405,,,,,,,
CONNECTICUT,CT,0.0811,0.0811,0.0812,0.0812,0.0814,0.0815,,,,,,,
DISTRICT OF COLUMBIA,DC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
DELAWARE,DE,0.0770,0.0772,0.0774,0.0777,0.0780,0.0786,,,,,,,
FLORIDA,FL,0.3297,0.3302,0.3308,0.3314,0.3323,0.3338,,,,,,,
GEORGIA,GA,0.5694,0.5700,0.5707,0.5715,0.5728,0.5745,,,,,,,
HAWAII,HI,0.0527,0.0528,0.0530,0.0531,0.0533,0.0537,,,,,,,
IOWA,IA,0.3112,0.3118,0.3125,0.3133,0.3143,0.3162,,,,,,,
IDAHO,ID,0.0752,0.0753,0.0754,0.0756,0.0758,0.0763,,,,,,,
ILLINOIS,IL,0.7190,0.7206,0.7223,0.7244,0.7267,0.7316,,,,,,,
INDIANA,IN,0.2479,0.2483,0.2486,0.2491,0.2497,0.2508,,,,,,,
KANSAS,KS,0.1399,0.1402,0.1405,0.1409,0.1413,0.1422,,,,,,,
KENTUCKY,KY,1.0772,1.0797,1.0822,1.0854,1.0890,1.0966,,,,,,,
LOUISIANA,LA,0.4312,0.4315,0.4319,0.4323,0.4331,0.4340,,,,,,,
MASSACHUSETTS,MA,0.2701,0.2703,0.2705,0.2707,0.2713,0.2718,,,,,,,
MARYLAND,MD,0.1255,0.1257,0.1259,0.1262,0.1265,0.1272,,,,,,,
MAINE,ME,0.2661,0.2662,0.2662,0.2662,0.2665,0.2665,,,,,,,
MICHIGAN,MI,0.4995,0.4999,0.5002,0.5007,0.5016,0.5025,,,,,,,
MINNESOTA,MN,0.5814,0.5823,0.5831,0.5842,0.5856,0.5881,,,,,,,
MISSOURI,MO,0.2004,0.2008,0.2012,0.2018,0.2024,0.2036,,,,,,,
MISSISSIPPI,MS,0.2144,0.2146,0.2149,0.2151,0.2156,0.2162,,,,,,,
MONTANA,MT,0.0121,0.0122,0.0122,0.0122,0.0123,0.0124,,,,,,,
NORTH CAROLINA,NC,0.5185,0.5191,0.5197,0.5205,0.5217,0.5234,,,,,,,
NORTH DAKOTA,ND,0.0204,0.0204,0.0205,0.0205,0.0206,0.0208,,,,,,,
NEBRASKA,NE,0.1086,0.1088,0.1091,0.1095,0.1099,0.1107,,,,,,,
NEW HAMPSHIRE,NH,0.1100,0.1101,0.1101,0.1101,0.1102,0.1102,,,,,,,
NEW JERSEY,NJ,0.2751,0.2757,0.2763,0.2771,0.2780,0.2797,,,,,,,
NEW MEXICO,NM,0.0048,0.0048,0.0048,0.0048,0.0048,0.0049,,,,,,,
NEVADA,NV,0.0075,0.0075,0.0076,0.0076,0.0076,0.0077,,,,,,,
NEW YORK,NY,0.6568,0.6574,0.6580,0.6587,0.6601,0.6616,,,,,,,
OHIO,OH,0.4529,0.4533,0.4536,0.4540,0.4549,0.4558,,,,,,,
OKLAHOMA,OK,0.1779,0.1780,0.1781,0.1783,0.1786,0.1789,,,,,,,
OREGON,OR,0.5000,0.5004,0.5007,0.5010,0.5019,0.5026,,,,,,,
PENNSYLVANIA,PA,0.4964,0.4970,0.4975,0.4982,0.4994,0.5009,,,,,,,
RHODE ISLAND,RI,0.0161,0.0161,0.0162,0.0162,0.0163,0.0164,,,,,,,
SOUTH CAROLINA,SC,0.3106,0.3107,0.3108,0.3110,0.3115,0.3118,,,,,,,
SOUTH DAKOTA,SD,0.0246,0.0247,0.0247,0.0248,0.0249,0.0251,,,,,,,
TENNESSEE,TN,0.2742,0.2744,0.2746,0.2747,0.2752,0.2756,,,,,,,
TEXAS,TX,0.6411,0.6423,0.6434,0.6448,0.6466,0.6498,,,,,,,
UTAH,UT,0.0532,0.0534,0.0535,0.0537,0.0539,0.0543,,,,,,,
VIRGINIA,VA,0.4550,0.4555,0.4560,0.4566,0.4577,0.4591,,,,,,,
VERMONT,VT,0.0739,0.0740,0.0741,0.0742,0.0743,0.0746,,,,,,,
WASHINGTON,WA,0.4229,0.4233,0.4236,0.4241,0.4250,0.4260,,,,,,,
WISCONSIN,WI,1.0250,1.0259,1.0268,1.0278,1.0299,1.0322,,,,,,,
WEST VIRGINIA,WV,0.0453,0.0453,0.0453,0.0453,0.0454,0.0454,,,,,,,
WYOMING,WY,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,,,,,,,
