State,Ag.District,County,Year,NPP_C,SD_NPP,yield_C,SD_yield,area_ha,area_sd
ALABAMA,BLACK BELT,AUTAUGA,2015,22722.33519,5843.632224,11534.54856,2903.201388,4396.910369,962.686974
ALABAMA,BLACK BELT,AUTAUGA,2017,2442.345211,425.6318649,1090.176577,145.0942096,263.0374729,7.295384541
ALABAMA,BLACK BELT,AUTAUGA,2018,3275.319748,569.9639694,1461.872832,193.5584868,364.3363897,10.20467369
ALABAMA,BLACK BELT,AUTAUGA,2019,5837.290053,1000.464336,2606.289872,342.6926807,647.4709606,17.90939168
ALABAMA,BLACK BELT,AUTAUGA,2020,3553.239481,613.5339865,1586.51774,211.5604757,416.7908748,11.55546442
ALABAMA,BLACK BELT,BULLOCK,2015,10669.81635,2754.867041,5414.602043,1360.578861,2788.788926,620.5474872
ALABAMA,BLACK BELT,BULLOCK,2017,2379.334817,321.6648816,1062.233177,82.84039765,323.666898,8.15831315
ALABAMA,BLACK BELT,DALLAS,2015,53282.48775,10301.1088,24991.15318,5052.406701,12750.03326,1670.841088
ALABAMA,BLACK BELT,DALLAS,2016,21697.29237,2482.735386,8857.96599,742.8711153,5542.600889,65.46938407
ALABAMA,BLACK BELT,DALLAS,2017,28061.98031,3009.373755,11535.76834,914.6881306,5260.719654,62.06852379
ALABAMA,BLACK BELT,DALLAS,2018,23681.2839,2762.745766,9719.54677,830.9803031,4774.830125,60.66140858
ALABAMA,BLACK BELT,DALLAS,2019,21178.24183,2755.254646,9026.880387,860.2213559,4552.794018,64.07877791
ALABAMA,BLACK BELT,DALLAS,2020,26652.38005,3192.048334,11104.95296,983.017402,4920.705193,66.9211053
ALABAMA,BLACK BELT,ELMORE,2015,28450.24965,4423.952448,13668.82397,2068.526336,4537.560339,740.9545634
ALABAMA,BLACK BELT,ELMORE,2016,11828.49503,1491.356298,5203.187727,384.9772985,1861.576871,39.91526801
ALABAMA,BLACK BELT,ELMORE,2017,8338.652471,982.067253,3617.532861,253.883877,1234.200304,26.38110531
ALABAMA,BLACK BELT,ELMORE,2018,8988.759134,1079.776188,3905.924244,278.0597833,1193.356939,25.4139679
ALABAMA,BLACK BELT,ELMORE,2019,4814.910309,645.5387476,2149.800227,166.7306478,850.2687586,21.6874951
ALABAMA,BLACK BELT,HALE,2015,22449.19242,4474.631861,10547.88893,2191.06184,5668.687638,804.580971
ALABAMA,BLACK BELT,HALE,2016,2177.198796,329.7189687,762.5443472,74.09910627,1254.857514,49.63462581
ALABAMA,BLACK BELT,LOWNDES,2015,33148.47156,7273.220995,16015.20677,3579.749094,8047.122338,1246.131848
ALABAMA,BLACK BELT,LOWNDES,2016,1163.115323,174.9685597,407.4781381,39.93795604,526.3191064,21.10187147
ALABAMA,BLACK BELT,LOWNDES,2020,8693.90703,1235.438833,3881.636543,349.8520487,1355.344047,25.57281523
ALABAMA,BLACK BELT,MACON,2015,22454.95584,5784.220319,11397.70786,2867.426813,4735.090836,1035.912151
ALABAMA,BLACK BELT,MACON,2016,3917.148549,500.3140286,1748.575498,108.5833892,546.4836696,15.85293464
ALABAMA,BLACK BELT,MACON,2017,3352.31942,362.5586923,1430.606815,82.44648921,607.1895845,33.89867364
ALABAMA,BLACK BELT,MACON,2020,8300.928872,962.4674987,3627.49282,213.2760709,1117.068045,37.46260904
ALABAMA,BLACK BELT,MARENGO,2015,23637.78998,6143.193314,11997.51942,3044.552697,5183.104144,1147.453326
ALABAMA,BLACK BELT,MARENGO,2016,27533.54908,3174.325007,11909.34476,778.662817,4897.077346,86.82379758
ALABAMA,BLACK BELT,MARENGO,2017,2306.569506,307.5780785,808.0371099,55.67517109,971.5056092,20.1738228
ALABAMA,BLACK BELT,MARENGO,2020,12377.27714,1314.994859,5256.260459,322.0033274,2655.285212,44.20594558
ALABAMA,BLACK BELT,MONTGOMERY,2015,33075.58572,8567.976328,16785.91122,4238.630425,7628.906595,1675.039907
ALABAMA,BLACK BELT,OTHER (COMBINED) COUNTIES,2015,91666.72747,9598.812025,40830.44858,4115.213759,22318.37433,1838.350106
ALABAMA,BLACK BELT,OTHER (COMBINED) COUNTIES,2016,37784.82549,3337.743418,15922.42076,519.8676187,7506.510505,63.26177323
ALABAMA,BLACK BELT,OTHER (COMBINED) COUNTIES,2017,54391.45726,4906.919689,22980.01698,767.3626247,9631.674873,82.96653748
ALABAMA,BLACK BELT,OTHER (COMBINED) COUNTIES,2018,64163.34492,6098.88734,27251.24208,946.3291791,10643.09537,99.59452325
ALABAMA,BLACK BELT,OTHER (COMBINED) COUNTIES,2019,59664.207,5533.79313,25179.27771,853.8967516,12726.51635,123.2397962
ALABAMA,BLACK BELT,PERRY,2015,16667.8176,1786.296769,6677.800702,442.6778045,5058.110734,59.54079241
ALABAMA,BLACK BELT,PERRY,2016,26236.77862,2676.104446,10735.22265,624.807363,6071.056713,76.40961923
ALABAMA,BLACK BELT,PERRY,2017,24600.33556,2492.093143,10196.91039,557.5380742,5179.585642,72.00136579
ALABAMA,BLACK BELT,PERRY,2018,25670.70427,2643.742176,10867.9097,552.9724373,4633.414468,68.65919739
ALABAMA,BLACK BELT,PERRY,2019,15020.91186,1828.267348,6706.589273,358.3662602,2508.641,62.94128238
ALABAMA,BLACK BELT,PERRY,2020,28855.01562,2943.400282,12168.98456,630.9713133,5175.571866,72.6843625
ALABAMA,BLACK BELT,SUMTER,2015,21166.63529,4829.095021,10372.99412,2386.605562,5975.099131,1078.651043
ALABAMA,BLACK BELT,SUMTER,2016,2442.494969,367.0258803,855.6189709,83.11501253,1052.087428,41.68355897
ALABAMA,BLACK BELT,SUMTER,2017,1615.604577,243.0653691,565.91991,54.69921818,526.3301002,21.13672682
ALABAMA,BLACK BELT,SUMTER,2018,1843.038884,275.6503224,645.7376137,62.85668286,566.273431,22.34146806
ALABAMA,BLACK BELT,SUMTER,2019,1624.077898,243.86305,568.9670719,55.12851791,566.5838357,22.83694398
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2015,114938.9867,8140.900428,45828.88644,2572.312993,25020.99699,1024.80571
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2016,96375.61126,6614.22333,37274.95145,1328.725576,19223.84523,186.7352531
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2017,87067.67325,6523.775887,33635.31972,1300.439073,16955.74619,182.2126846
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2018,82101.60009,5749.333402,31978.84765,1136.495684,15215.76507,153.748704
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2019,64374.89312,5035.321792,25720.33368,985.1579384,10782.93306,133.3181336
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2020,74675.72698,5535.332531,29135.83317,1095.535005,14799.89665,158.6005473
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2015,20277.63676,5285.045041,10290.54319,2611.873832,3444.308904,758.0368236
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2020,3572.366802,652.8842125,1595.167547,232.9173241,607.0869639,15.18740157
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2015,6101.804839,1576.772169,3096.945916,781.4719738,1248.011827,273.8570436
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2015,6914.135868,1792.427752,3509.875142,891.1756093,1695.810836,371.3124686
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2015,11437.68175,2797.762783,5775.732572,1382.192028,2989.177664,622.5908864
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2016,2339.905805,278.2083668,1004.940879,77.2535629,465.5884084,10.10219701
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2017,1539.284168,216.9329756,687.330661,61.43028186,234.5917476,7.487544235
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2018,3861.317982,394.8560651,1631.967185,107.7184304,607.1611911,10.93189791
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2019,1606.385971,229.3590995,717.128481,64.05812883,271.0283792,8.584799503
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2020,1933.265069,273.3038691,863.2015016,77.32234012,323.9645716,10.33207864
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2015,47608.17803,3456.283536,19058.89548,871.3353144,10481.40632,272.8770154
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2016,44253.77223,3523.377983,17289.53996,728.1335681,8154.590147,80.2818806
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2017,39185.0937,3150.045452,15288.60724,643.6347626,7527.623016,75.90258041
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2018,11089.83736,1316.95083,4951.176244,222.623001,1153.636479,25.22517632
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2019,25717.19737,2626.108098,9543.921382,559.8079289,4937.29131,56.15561715
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2020,54339.16951,4264.304325,21881.74961,827.7531433,8316.167403,88.63596719
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2015,38938.20104,6592.56406,17897.83373,3190.211063,7560.031949,1041.893236
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2016,16535.78813,1548.74578,6142.592476,225.7687273,3479.543481,48.56187489
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2017,12498.46284,1170.752533,4642.77068,169.7969095,2792.215725,38.85777471
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2019,17967.16924,1677.381105,6674.369981,241.6637922,3824.118262,53.54788736
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2020,13682.09354,1276.227153,5082.635247,185.3277556,3273.746195,45.92648858
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2015,43022.58348,4531.249131,18333.88665,2000.764629,8681.27628,661.8537502
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2016,23072.18792,1770.339566,8778.460791,305.4049735,4471.494632,43.77951116
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2017,21653.05927,1749.576441,8411.44161,319.1143252,3844.980631,43.4707228
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2018,20585.49241,1619.750202,8076.242512,305.1949257,3459.598026,40.33094915
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2019,15577.50783,1234.87692,6083.735783,226.5702573,2771.719967,32.50685394
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2020,25267.32506,2022.631287,9841.701552,367.2544827,4321.446733,48.6345431
ALABAMA,COASTAL PLAINS & GULF COAST,OTHER (COMBINED) COUNTIES,2015,26207.34062,1645.351305,10294.60911,241.3547909,6211.086977,48.65673845
ALABAMA,COASTAL PLAINS & GULF COAST,OTHER (COMBINED) COUNTIES,2016,21452.77922,1569.123215,8790.214378,239.7885312,4754.861183,35.81689583
ALABAMA,COASTAL PLAINS & GULF COAST,OTHER (COMBINED) COUNTIES,2017,24961.99498,1746.385952,10113.98157,266.0430154,5027.072069,39.02735659
ALABAMA,COASTAL PLAINS & GULF COAST,OTHER (COMBINED) COUNTIES,2018,60569.72873,4375.842834,23340.90337,645.3960721,12261.52019,109.2347844
ALABAMA,COASTAL PLAINS & GULF COAST,OTHER (COMBINED) COUNTIES,2019,39580.09649,3182.418444,16270.78492,481.973667,9299.644637,85.97022086
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2015,11374.7661,2961.54673,5773.764045,1468.219254,2184.000461,474.5260375
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2015,15143.40859,3888.42404,7687.194168,1930.191828,3443.695066,751.7452808
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2015,36089.78417,7566.451519,17514.4686,3717.011818,6516.259894,1068.759373
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2016,1681.898855,220.3791437,589.2737536,38.94412769,890.7356267,17.10436136
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2017,4311.111902,568.505929,1510.303063,99.65811787,1173.793089,22.47802277
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2018,3667.742253,485.417055,1284.96379,86.73506716,1234.480191,23.9094647
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2019,2538.521744,335.7763119,889.3057329,59.42293214,950.9535022,18.08876614
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2020,9955.725723,1236.746869,4036.081709,410.0605806,1970.549573,30.78064092
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2015,19702.17032,5091.300862,10002.47823,2533.045021,3919.412583,865.0085418
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2018,4465.22252,822.8840213,1994.203204,297.5002668,526.1590527,14.04485042
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2019,5423.516406,1016.813877,2421.563403,367.5137879,728.2976353,19.858232
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2020,8808.810035,1277.93413,3708.175105,446.151393,1663.277745,29.35711727
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2015,31934.86947,3965.088142,13198.56086,1513.431233,10487.10999,471.8916625
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2016,17017.41236,2218.627733,6595.078811,689.3994295,7952.22129,125.8148391
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2017,21477.45499,2967.969977,8660.956654,1032.191932,4512.581097,66.40434287
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2018,7601.627418,1249.053367,2663.168211,315.8102784,2225.840631,39.67053315
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2019,12291.0813,2008.127474,5181.969277,748.9632018,2691.633029,40.53501946
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2020,14351.81523,2411.763313,6081.307436,902.6099833,2885.37144,46.62716736
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2015,9790.230112,2517.097808,4969.185437,1245.441854,1945.672871,429.8120015
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2016,1650.053514,229.0101757,736.7420224,62.80648161,242.8418115,6.26335862
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2017,1098.779211,151.0443481,490.5806816,40.65608992,182.2181327,4.760890384
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2015,65934.23525,12082.64716,31129.52572,5918.480552,13959.50526,2246.55122
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2016,12125.57923,1150.673453,4781.661986,253.1744762,3743.943549,46.49222613
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2017,14898.16083,1453.381581,5757.678232,296.9416481,2813.101763,35.55654958
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2018,17174.35131,1729.263352,6496.920529,332.0382784,4127.636115,52.46265063
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2019,24574.51736,2361.772464,9907.918495,554.3529047,4835.996363,62.66728539
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2020,26160.23812,2503.11599,10490.01187,580.912907,4650.85389,60.30235624
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2015,137186.4404,20466.84391,63843.24683,9788.44001,28045.17548,3740.280253
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2016,37441.64817,3340.578712,15408.45102,570.1116108,10683.62754,142.4535477
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2017,57831.83096,5333.11458,24166.29648,899.4919683,9512.849625,134.9330075
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2018,62541.5741,5592.867225,25826.06631,939.1648228,10240.63223,137.0314098
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2019,47831.75076,4652.722391,20384.7591,784.4847302,9672.475871,146.3530091
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2020,59635.07969,5884.464396,25510.87077,985.4081984,9510.632801,151.140958
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2015,22778.51161,3737.776591,10713.59922,1805.201182,5184.091158,651.7682551
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2016,5692.285411,592.3243564,2218.432876,141.9638529,2205.477238,32.5068397
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2017,6015.704035,669.101397,2283.255204,155.3631233,1335.599821,19.59007113
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2019,12788.59883,1409.883416,5409.573204,373.2797533,2529.973747,41.49109508
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2020,12828.54044,1329.837687,5277.052166,342.2171025,2504.928009,39.13863346
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2015,164138.0245,17208.59374,73246.13171,7122.995207,33955.06152,2537.843173
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2016,64454.22486,5943.466581,26906.15216,1053.42582,22254.64677,268.3518173
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2017,102181.8418,9179.252999,42276.64182,1609.097255,19671.90391,228.7881314
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2018,109715.1793,9832.226156,45427.59871,1710.870519,21165.05569,242.7602467
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2019,91772.25412,8809.472273,38802.81661,1600.578161,20599.11132,250.9916161
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2020,106910.3965,9863.247622,44662.93123,1750.424417,19747.5898,236.1362811
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2015,58329.96765,15004.78008,29603.36088,7420.220078,8772.367337,1909.093722
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2017,24691.99474,2225.544065,10033.4094,409.3508998,4856.924296,60.94318097
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2018,8159.043807,1098.699863,2858.649262,209.0365002,2995.343952,41.89843616
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2019,27467.56117,2616.51387,11584.48002,470.7342554,5524.21227,74.76619486
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2020,31502.52521,2948.248503,13168.47032,534.1177879,5544.124558,77.7942136
ALABAMA,MOUNTAINS & EASTERN VALLEY,OTHER (COMBINED) COUNTIES,2015,29961.74564,2501.015582,11877.37684,326.3571281,7606.449104,91.64824337
ALABAMA,MOUNTAINS & EASTERN VALLEY,OTHER (COMBINED) COUNTIES,2016,24461.83547,2094.252067,10042.54778,307.5345709,7951.384923,85.15366554
ALABAMA,MOUNTAINS & EASTERN VALLEY,OTHER (COMBINED) COUNTIES,2017,10381.1446,918.4673667,4311.407225,138.7093169,2003.308982,21.4045045
ALABAMA,MOUNTAINS & EASTERN VALLEY,OTHER (COMBINED) COUNTIES,2018,52915.51659,5261.819773,22739.45407,822.9653287,8113.283579,73.94277993
ALABAMA,MOUNTAINS & EASTERN VALLEY,OTHER (COMBINED) COUNTIES,2019,10080.59601,951.7164764,4274.118078,147.3913008,2205.30595,21.15675506
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2015,17253.18074,4457.636699,8758.081769,2211.637864,2866.793898,626.5897313
ALABAMA,NA,OTHER COUNTIES,2020,169644.1015,13854.41222,70612.77492,2125.355973,31210.29302,243.3842637
ALABAMA,NORTHERN VALLEY,COLBERT,2015,108265.161,9538.891838,44729.08739,1467.898164,19424.89037,251.3058777
ALABAMA,NORTHERN VALLEY,COLBERT,2016,86986.10375,8084.366699,36688.92786,1253.271143,18906.21466,266.5876954
ALABAMA,NORTHERN VALLEY,COLBERT,2017,104439.1566,9084.976878,42788.43684,1420.5214,17040.06023,205.3671758
ALABAMA,NORTHERN VALLEY,COLBERT,2018,82945.37795,7390.393574,34418.70067,1161.374765,16637.5374,211.5231558
ALABAMA,NORTHERN VALLEY,COLBERT,2019,99807.92049,9712.682878,42680.98539,1493.120216,15781.17776,245.262747
ALABAMA,NORTHERN VALLEY,COLBERT,2020,107321.6705,10447.16594,45893.89726,1609.494753,15662.83282,241.682312
ALABAMA,NORTHERN VALLEY,FRANKLIN,2015,18951.2752,4845.500013,9615.299025,2383.584939,4417.393405,972.5766494
ALABAMA,NORTHERN VALLEY,FRANKLIN,2016,11718.92021,1251.021289,4585.579515,293.0546831,3338.998845,57.07573941
ALABAMA,NORTHERN VALLEY,FRANKLIN,2017,12466.0707,1223.20878,5048.312247,266.9107869,2428.592736,42.5135601
ALABAMA,NORTHERN VALLEY,FRANKLIN,2018,11061.03615,1224.440215,4277.292645,293.6659947,3197.356889,57.62248868
ALABAMA,NORTHERN VALLEY,FRANKLIN,2019,4029.5928,664.4760642,1411.46042,165.8379333,1416.421399,31.08206452
ALABAMA,NORTHERN VALLEY,FRANKLIN,2020,3792.059377,613.1805307,1328.536586,152.1147121,1294.768886,28.42804588
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2015,130336.4761,12130.40706,53978.41866,2369.362757,22303.17954,286.01154
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2016,79240.46759,7508.760757,33146.97077,1492.954422,19948.88757,267.7351633
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2017,116351.0368,10990.01074,48537.83342,2172.53668,18454.66841,233.9957957
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2018,93777.32583,9027.271117,39356.07039,1767.216686,17278.26776,221.2121988
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2019,112962.279,11770.86852,48491.80679,2389.852327,16796.4826,250.1943165
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2020,121155.8481,12464.89087,51935.20628,2497.560059,18451.77725,279.3267731
ALABAMA,NORTHERN VALLEY,LAWRENCE,2015,141369.7356,12305.8959,57185.8295,2104.823485,29584.71235,438.5559038
ALABAMA,NORTHERN VALLEY,LAWRENCE,2016,119841.5076,10722.70333,49605.00785,1868.917334,28693.56971,484.6476791
ALABAMA,NORTHERN VALLEY,LAWRENCE,2017,164613.2933,14663.65861,67633.28074,2517.16463,24199.24678,384.8530979
ALABAMA,NORTHERN VALLEY,LAWRENCE,2018,138968.1879,12915.37504,58224.39908,2285.759174,23674.22956,408.3182999
ALABAMA,NORTHERN VALLEY,LAWRENCE,2019,151498.4014,15540.07949,65257.80188,2789.662644,21891.81736,502.3047389
ALABAMA,NORTHERN VALLEY,LAWRENCE,2020,180329.6354,18598.7868,77883.96305,3394.158586,23469.74632,548.6749838
ALABAMA,NORTHERN VALLEY,LIMESTONE,2015,224173.0365,19078.80831,90910.98303,5240.193282,48981.63007,1931.338957
ALABAMA,NORTHERN VALLEY,LIMESTONE,2016,142940.9418,11914.74944,57340.33846,1606.13511,40347.06146,489.8492198
ALABAMA,NORTHERN VALLEY,LIMESTONE,2017,174099.1152,14632.3916,69066.52183,1925.615042,31443.20079,378.741586
ALABAMA,NORTHERN VALLEY,LIMESTONE,2018,135290.4035,11333.94363,53560.67076,1482.834698,28210.98505,339.6375826
ALABAMA,NORTHERN VALLEY,LIMESTONE,2019,129115.9235,10906.55467,52539.35483,1473.554312,26060.6621,317.6169511
