State,Ag.District,County,Year,livestock_ton_CCO2,livestock_ton_CCO2 2.5,livestock_ton_CCO2 97.5
ALABAMA,ALL,OTHER COUNTIES,2015,361510.5089,281427.125,444652.6381
ALABAMA,ALL,OTHER COUNTIES,2016,336706.8413,261766.5493,413682.3618
ALABAMA,ALL,OTHER COUNTIES,2017,525469.9988,404729.5844,645651.7761
ALABAMA,ALL,OTHER COUNTIES,2018,717527.552,552763.902,884056.0382
ALABAMA,ALL,OTHER COUNTIES,2019,733812.3308,565598.1219,903121.5293
ALABAMA,ALL,OTHER COUNTIES,2020,761964.8767,586749.169,939587.0444
ALABAMA,BLACK BELT,AUTAUGA,2015,9828.017892,2334.473724,18770.85183
ALABAMA,BLACK BELT,AUTAUGA,2016,10199.57409,2423.643986,19353.12694
ALABAMA,BLACK BELT,AUTAUGA,2017,11432.59847,2636.453502,21887.44576
ALABAMA,BLACK BELT,AUTAUGA,2018,11974.24728,2724.626985,22979.07368
ALABAMA,BLACK BELT,AUTAUGA,2019,11630.97171,2634.846327,22432.33233
ALABAMA,BLACK BELT,AUTAUGA,2020,11669.71011,2751.096728,22513.40783
ALABAMA,BLACK BELT,BULLOCK,2015,11703.85742,6602.03998,17632.23516
ALABAMA,BLACK BELT,BULLOCK,2016,11494.75911,6298.83932,17518.06283
ALABAMA,BLACK BELT,BULLOCK,2017,12395.32041,6642.391335,19239.98986
ALABAMA,BLACK BELT,BULLOCK,2018,12852.44643,6880.724169,19925.34685
ALABAMA,BLACK BELT,BULLOCK,2019,12820.39508,6968.819454,19679.5354
ALABAMA,BLACK BELT,BULLOCK,2020,13033.45409,6997.474239,20099.32999
ALABAMA,BLACK BELT,DALLAS,2015,15092.60271,3338.735912,28972.08778
ALABAMA,BLACK BELT,DALLAS,2016,15741.08794,3512.392259,30041.6184
ALABAMA,BLACK BELT,DALLAS,2017,17650.59415,3817.499523,33899.18979
ALABAMA,BLACK BELT,DALLAS,2018,18483.64312,4064.06493,35708.12086
ALABAMA,BLACK BELT,DALLAS,2019,17951.05918,3763.126642,35075.17384
ALABAMA,BLACK BELT,DALLAS,2020,17902.63141,3851.325881,34569.06278
ALABAMA,BLACK BELT,ELMORE,2015,7455.788842,2115.144469,13942.76538
ALABAMA,BLACK BELT,ELMORE,2016,7720.181877,2078.058378,14297.30367
ALABAMA,BLACK BELT,ELMORE,2017,8581.352383,2378.983032,15931.7591
ALABAMA,BLACK BELT,ELMORE,2018,8943.47,2420.318714,16770.06873
ALABAMA,BLACK BELT,ELMORE,2019,8677.658944,2356.607214,16235.91149
ALABAMA,BLACK BELT,ELMORE,2020,8661.782426,2262.399563,16094.46884
ALABAMA,BLACK BELT,GREENE,2015,6767.91837,1517.532207,13165.94326
ALABAMA,BLACK BELT,GREENE,2016,7060.532122,1554.596842,13771.69254
ALABAMA,BLACK BELT,GREENE,2017,7905.095917,1741.222619,15402.94729
ALABAMA,BLACK BELT,GREENE,2018,8261.871673,1691.834595,16387.45493
ALABAMA,BLACK BELT,GREENE,2019,8051.77324,1688.590475,15720.33646
ALABAMA,BLACK BELT,GREENE,2020,8037.343773,1667.23651,15860.24411
ALABAMA,BLACK BELT,HALE,2015,16589.87174,3517.115556,32680.5202
ALABAMA,BLACK BELT,HALE,2016,17290.43526,3502.333975,34009.20392
ALABAMA,BLACK BELT,HALE,2017,19417.61847,4039.072577,37943.51233
ALABAMA,BLACK BELT,HALE,2018,20362.36476,4140.220227,40249.36307
ALABAMA,BLACK BELT,HALE,2019,19790.59515,4063.169015,38923.97101
ALABAMA,BLACK BELT,HALE,2020,19702.05478,4077.273069,38659.38414
ALABAMA,BLACK BELT,LOWNDES,2015,61870.69177,37612.76397,88556.00392
ALABAMA,BLACK BELT,LOWNDES,2016,60024.86935,36313.02369,86698.53228
